Id;Disease
1481;Congenital contractural arachnodactyly
1480;Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome
1525;Brachymorphism-onychodysplasia-dysphalangism syndrome
1526;Brachyolmia
16690;Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome
1533;Branchioskeletogenital syndrome
1534;Autosomal dominant popliteal pterygium syndrome
16697;Overgrowth-macrocephaly-facial dysmorphism syndrome
1528;Brachytelephalangy-dysmorphism-Kallmann syndrome
1529;Lambert syndrome
1530;Branchio-oculo-facial syndrome
1511;Brachydactyly-arterial hypertension syndrome
1510;Brachydactyly-elbow wrist dysplasia syndrome
1506;Bowen-Conradi syndrome
16681;Neurotrophic keratopathy
1512;Brachydactyly-preaxial hallux varus syndrome
16682;Stromal keratitis
1426;Congenital unilateral hypoplasia of depressor anguli oris
1427;Ataxia-oculomotor apraxia type 1
1424;Chylous ascites
16721;Arachnoiditis
1431;Cerebellar ataxia-ectodermal dysplasia syndrome
16725;Frank-Ter Haar syndrome
16724;X-linked intellectual disability-cerebellar hypoplasia syndrome
1429;Autosomal recessive cerebelloparenchymal disorder type 3
1435;Ataxia-tapetoretinal degeneration syndrome
1433;X-linked progressive cerebellar ataxia
1438;Ataxia-hypogonadism-choroidal dystrophy syndrome
1436;Benign paroxysmal tonic upgaze of childhood with ataxia
1437;Cerebellar ataxia-hypogonadism syndrome
16732;Madras motor neuron disease
1409;AREDYLD syndrome
1408;X-linked mandibulofacial dysostosis
16711;Neurological conditions associated with aminoacylase 1 deficiency
1414;Infantile-onset X-linked spinal muscular atrophy
16708;Asherman syndrome
1413;Arthrogryposis-like hand anomaly-sensorineural deafness syndrome
1417;Arthrogryposis multiplex congenita-whistling face syndrome
1416;Kuskokwim syndrome
1423;Progressive pseudorheumatoid arthropathy of childhood
1460;Progressive hemifacial atrophy
1461;Autosomal dominant optic atrophy plus syndrome
1462;Autosomal dominant congenital benign spinal muscular atrophy
1466;Cheilitis glandularis
1469;Baller-Gerold syndrome
1470;Bamforth-Lazarus syndrome
1471;Bangstad syndrome
1441;Ataxia-photosensitivity-short stature syndrome
1440;Spastic ataxia with congenital miosis
16737;Auriculocondylar syndrome
1443;Infantile onset spinocerebellar ataxia
1442;Spinocerebellar ataxia-dysmorphism syndrome
16739;Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome
1445;Ataxia-deafness-intellectual disability syndrome
16740;Isolated optic nerve hypoplasia/aplasia
1444;Lethal ataxia with deafness and optic atrophy
1447;Atelosteogenesis type I
16744;Choanal atresia
1449;Atkin-Flaitz syndrome
1451;Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome
1450;Colonic atresia
1452;Duodenal atresia
1455;Pulmonary atresia-intact ventricular septum syndrome
16751;Laryngotracheal angioma
1642;Ring chromosome 7 syndrome
1643;Cleidorhizomelic syndrome
1647;CODAS syndrome
1644;Joubert syndrome with hepatic defect
1645;Coats disease
1634;Benign hereditary chorea
1632;Greenberg dysplasia
17056;Rapidly involuting congenital hemangioma
1633;Otospondylomegaepiphyseal dysplasia
1638;Xq21 microdeletion syndrome
1639;X-linked skeletal dysplasia-intellectual disability syndrome
1637;Choroidal atrophy-alopecia syndrome
1659;Contractures-ectodermal dysplasia-cleft lip/palate syndrome
17080;Biemond syndrome type 2
1663;Corneal dystrophy-perceptive deafness syndrome
1662;Cooks syndrome
1660;Lethal congenital contracture syndrome type 1
1649;COFS syndrome
1654;Coloboma of macula-brachydactyly type B syndrome
17077;Cleft lip and alveolus
1608;Hair defect-photosensitivity-intellectual disability syndrome
1609;Woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome
1610;Uncombable hair syndrome
17034;Supernumerary nostril
1612;Tarsal-carpal coalition syndrome
1614;Familial calcium pyrophosphate deposition
1600;Cerebrofaciothoracic dysplasia
1604;Hydrocephaly-cerebellar agenesis syndrome
1605;Isolated cerebellar agenesis
1606;Richards-Rundle syndrome
1607;CHAND syndrome
1624;Metaphyseal chondrodysplasia, Schmid type
1631;Desbuquois syndrome
17055;Non-involuting congenital hemangioma
17043;Congenital tracheal stenosis
17045;Otomandibular syndrome
17135;Spondyloepimetaphyseal dysplasia, matrilin-3 type
1582;Cataract-hypertrichosis-intellectual disability syndrome
1580;Hereditary hyperferritinemia-cataract syndrome
1579;Cataract-aberrant oral frenula-growth delay syndrome
1575;Cataract-ataxia-deafness syndrome
1573;Autosomal recessive palmoplantar keratoderma and congenital alopecia
1569;Carnosinase deficiency
1599;Cerebrocostomandibular syndrome
1596;Night blindness-skeletal anomalies-dysmorphism syndrome
1595;Cortical blindness-intellectual disability-polydactyly syndrome
17146;Hyperplastic polyposis syndrome
1594;Catel-Manzke syndrome
17147;Mesoaxial synostotic syndactyly with phalangeal reduction
1593;Cataract-intellectual disability-hypogonadism syndrome
17145;Hereditary mixed polyposis syndrome
1588;Cataract-intellectual disability-anal atresia-urinary defects syndrome
1587;Cataract-nephropathy-encephalopathy syndrome
1584;Cataract-microcornea syndrome
17137;Hereditary hypophosphatemic rickets with hypercalciuria
1548;Camptodactyly-taurinuria syndrome
1549;Camptodactyly syndrome, Guadalajara type 2
17100;Lipoatrophy with diabetes, leukomelanodermic papules, liver steatosis, and hypertrophic cardiomyopathy
1550;Camptodactyly syndrome, Guadalajara type 1
1551;Camurati-Engelmann disease
1544;Camptodactyly-fibrous tissue hyperplasia-skeletal dysplasia syndrome
1546;Camptodactyly-joint contractures-facial skeletal defects syndrome
1540;Symmetrical thalamic calcifications
1542;Campomelia, Cumming type
1543;Camptobrachydactyly
1536;Feingold syndrome
1537;Distal limb deficiencies-micrognathia syndrome
1539;Infantile choroidocerebral calcification syndrome
1565;Heart-hand syndrome type 2
1567;Congenital heart defect-round face-developmental delay syndrome
1566;Atrioventricular defect-blepharophimosis-radial and anal defect syndrome
1561;Heart-hand syndrome type 3
1563;Cardiomyopathy-cataract-hip spine disease syndrome
1557;Heart defect-tongue hamartoma-polysyndactyly syndrome
1559;Cardiofaciocutaneous syndrome
1553;Persistent Müllerian duct syndrome
1555;Hyperkeratosis-hyperpigmentation syndrome
17107;Retinal ciliopathy due to mutation in Usher gene
1554;Pentalogy of Cantrell
1762;Arterial dissection-lentiginosis syndrome
1773;Fibular dimelia-diplopodia syndrome
1772;Caudal duplication
1776;Dyschondrosteosis-nephritis syndrome
1777;Dysequilibrium syndrome
1782;Temtamy syndrome
1783;Thakker-Donnai syndrome
1780;45,X/46,XY mixed gonadal dysgenesis
1786;Acrofrontofacionasal dysostosis
1784;Dysosteosclerosis
1790;Hypomandibular faciocranial dysostosis
1788;Acrofacial dysostosis, Catania type
1789;Acrofacial dysostosis, Rodríguez type
1729;Transcobalamin deficiency
1728;Steroid dehydrogenase deficiency-dental anomalies syndrome
16897;Leukoencephalopathy with bilateral anterior temporal lobe cysts
1731;Hypotrichosis with juvenile macular degeneration
1730;Alpers-Huttenlocher syndrome
16899;Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome
1732;Retinal degeneration-nanophthalmos-glaucoma syndrome
16903;SERKAL syndrome
1737;Distal monosomy 15q
16904;Microphthalmia with brain and digit anomalies
16905;17q11.2 microduplication syndrome
1739;2q24 microdeletion syndrome
1738;1p36 deletion syndrome
16907;Autosomal recessive spastic paraplegia type 39
1741;Oculocerebrocutaneous syndrome
16908;Autosomal recessive ataxia due to ubiquinone deficiency
16909;Hemochromatosis type 4
1743;Dentin dysplasia
16911;African iron overload
1745;Dermatoosteolysis, Kirghizian type
1746;Absence of fingerprints-congenital milia syndrome
1747;Dermatoleukodystrophy
16916;Distal hereditary motor neuropathy type 5
1749;Dermoodontodysplasia
1750;X-linked corneal dermoid
1751;Restrictive dermopathy
1753;Sporadic fetal brain disruption sequence
1754;Wolcott-Rallison syndrome
16922;Mutilating hereditary sensory neuropathy with spastic paraplegia
1757;Diastematomyelia
1703;Cryptorchidism-arachnodactyly-intellectual disability syndrome
1702;Cryptomicrotia-brachydactyly-excess fingertip arch syndrome
1701;Crisponi syndrome
16994;Hyperlipidemia due to hepatic triacylglycerol lipase deficiency
1699;Jackson-Weiss syndrome
16995;Brachydactyly type B2
1697;Craniosynostosis-fibular aplasia syndrome
16993;Acute respiratory coronavirus infection
1696;Gómez-López-Hernández syndrome
17006;Syndactyly-telecanthus-anogenital and renal malformations syndrome
1707;Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome
17002;Lelis syndrome
17003;Short stature due to primary acid-labile subunit deficiency
1705;Curry-Jones syndrome
17001;Linear atrophoderma of Moulin
17015;Primary angiitis of the central nervous system
1718;Dandy-Walker malformation-postaxial polydactyly syndrome
17013;RHYNS syndrome
1716;Dahlberg-Borer-Newcomer syndrome
17011;Palmoplantar keratoderma, Nagashima type
1715;Dacryocystitis-osteopoikilosis syndrome
1726;Guanidinoacetate methyltransferase deficiency
1727;Prolidase deficiency
1725;Lipodystrophy due to peptidic growth factors deficiency
1722;Knobloch syndrome
1723;Familial benign copper deficiency
1720;X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome
1668;X-linked complicated corpus callosum dysgenesis
1665;Vici syndrome
16962;Secondary hypoparathyroidism due to impaired parathormon secretion
1667;Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome
1676;Coxopodopatellar syndrome
1679;Crane-Heise syndrome
1673;Thin ribs-tubular bones-dysmorphism syndrome
1675;Coxoauricular syndrome
1674;Autosomal recessive Robinow syndrome
1684;Hypertrichotic osteochondrodysplasia, Cantu type
1686;Hypertelorism, Teebi type
1687;Craniofrontonasal dysplasia
1680;Craniodiaphyseal dysplasia
1681;Craniodigital-intellectual disability syndrome
1682;Cranioectodermal dysplasia
1683;Craniofacial dyssynostosis
1693;Craniosynostosis, Philadelphia type
1694;Craniotelencephalic dysplasia
1695;Craniofacial-deafness-hand syndrome
1688;Craniofrontonasal dysplasia-Poland anomaly syndrome
1689;Craniometaphyseal dysplasia
1691;Cranio-osteoarthropathy
1913;Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome
1912;Flat face-microstomia-ear anomaly syndrome
1914;Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome
1917;Faciocardiorenal syndrome
1916;Lethal faciocardiomelic dysplasia
1918;Autosomal recessive faciodigitogenital syndrome
1907;Exostoses-anetodermia-brachydactyly type E syndrome
1908;Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome
1896;Dysplasia epiphysealis hemimelica
1897;Lowry-Wood syndrome
1899;Pacman dysplasia
1901;Congenital lethal erythroderma
1902;Spinocerebellar ataxia type 34
1888;Diabetic embryopathy
1889;Maternal phenylketonuria
1890;Emery-Nelson syndrome
1891;Eng-Strom syndrome
1882;Toluene embryopathy
1881;Phenobarbital embryopathy
1880;Fetal methylmercury syndrome
1885;Methimazole embryofetopathy
1875;Fetal hydantoin syndrome
1874;Fetal minoxidil syndrome
1873;Cocaine embryofetopathy
1872;Fetal iodine syndrome
1879;Diethylstilbestrol syndrome
1878;Fetal cytomegalovirus syndrome
1877;Vitamin K antagonist embryofetopathy
1876;Fetal trimethadione syndrome
1864;EEC syndrome
1865;EEM syndrome
1870;Aminopterin/methotrexate embryofetopathy
1871;Indomethacin embryofetopathy
1868;Fetal valproate syndrome
1863;Edinburgh malformation syndrome
1860;Intellectual disability-spasticity-ectrodactyly syndrome
1861;Ectrodactyly-polydactyly syndrome
1853;Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome
1855;Focal facial dermal dysplasia type III
1854;Ectodermal dysplasia, trichoodontoonychial type
1851;Ectodermal dysplasia-sensorineural deafness syndrome
1850;Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome
1845;Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome
1844;Jalili syndrome
1847;Melorheostosis with osteopoikilosis
1840;Hereditary bullous dystrophy, macular type
1843;Cone rod dystrophy
1842;Progressive cone dystrophy
1837;Thanatophoric dysplasia type 1
1838;Thoracic dysplasia-hydrocephalus syndrome
1839;Dyssegmental dysplasia, Silverman-Handmaker type
1835;Skeletal dysplasia-epilepsy-short stature syndrome
1831;Spondylometaphyseal dysplasia
1826;X-linked retinal dysplasia
1821;Bone dysplasia, lethal Holmgren type
1818;Hereditary mucoepithelial dysplasia
1816;Ulna metaphyseal dysplasia syndrome
1815;Mesomelic dysplasia, Kantaputra type
1814;Axial mesodermal dysplasia spectrum
1812;Schimke immuno-osseous dysplasia
1811;Epiphyseal dysplasia-hearing loss-dysmorphism syndrome
1809;Multiple epiphyseal dysplasia
1804;Odontomicronychial dysplasia
1805;Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome
1802;Hidrotic ectodermal dysplasia, Christianson-Fourie type
1803;Hidrotic ectodermal dysplasia, Halal type
1801;Ectodermal dysplasia-blindness syndrome
1798;Ghosal hematodiaphyseal dysplasia
1799;Thoracomelic dysplasia
1797;Kyphomelic dysplasia
1794;Dysostosis, Stanescu type
1795;Familial developmental dysphasia
1793;Oculomaxillofacial dysostosis
2033;Isolated hemihyperplasia
2035;Hemimelia
2036;Hennekam syndrome
2037;46,XX ovotesticular disorder of sex development
2038;Hernández-Aguirre Negrete syndrome
2040;Diaphragmatic defect-limb deficiency-skull defect syndrome
2043;Donnai-Barrow syndrome
2044;Craniosynostosis, Herrmann-Opitz type
2046;Nodular neuronal heterotopia
2047;Lissencephaly type 1 due to doublecortin gene mutation
2019;Hallermann-Streiff syndrome
2018;Hall-Riggs syndrome
2021;Hallux varus-preaxial polysyndactyly syndrome
2022;Cystic hamartoma of lung and kidney
2025;Harrod syndrome
2024;Hip dysplasia, Beukes type
2027;Short stature-craniofacial anomalies-genital hypoplasia syndrome
2026;Hartsfield syndrome
2028;HEC syndrome
2031;Cavernous hemangiomas of face-supraumbilical midline raphe syndrome
2030;Diffuse neonatal hemangiomatosis
17171;Benign cephalic histiocytosis
2002;GMS syndrome
17170;Generalized eruptive histiocytosis
2003;Multinodular goiter-cystic kidney-polydactyly syndrome
17174;Papular xanthoma
2007;Gordon syndrome
17173;Xanthoma disseminatum
2004;Focal dermal hypoplasia
17172;Juvenile xanthogranuloma
2010;Acromesomelic dysplasia, Grebe type
17179;Hereditary progressive mucinous histiocytosis
17178;Progressive nodular histiocytosis
2011;Greig cephalopolysyndactyly syndrome
2008;Gorlin-Chaudhry-Moss syndrome
17176;Rosaï-Dorfman disease
2009;Grant syndrome
2014;Grubben-de Cock-Borghgraef syndrome
2015;Dysmorphism-pectus carinatum-joint laxity syndrome
17180;Sea-blue histiocytosis
1987;Gastrocutaneous syndrome
17155;Neuroferritinopathy
1985;GAPO syndrome
17153;Paroxysmal hemicrania
1984;Galloway-Mowat syndrome
1991;Genitopalatocardiac syndrome
17159;Huntington disease-like 1
1990;Gemignani syndrome
17156;Pantothenate kinase-associated neurodegeneration
1989;Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome
17162;ANE syndrome
17160;Huntington disease-like 3
1993;Geroderma osteodysplastica
1992;German syndrome
17166;Congenital muscular dystrophy due to LMNA mutation
1999;Glaucoma-sleep apnea syndrome
1998;Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome
17164;SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome
1997;Prominent glabella-microcephaly-hypogenitalism syndrome
1974;Frontofacionasal dysplasia
1975;Frontometaphyseal dysplasia
1968;Flynn-Aird syndrome
1969;Foix-Chavany-Marie syndrome
1971;Cole-Carpenter syndrome
1982;Splenogonadal fusion-limb defects-micrognathia syndrome
1983;Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome
1976;Frontonasal dysplasia
1978;Blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome
1979;Fryns syndrome
1957;Gingival fibromatosis-hypertrichosis syndrome
1956;Gingival fibromatosis-facial dysmorphism syndrome
1959;Juvenile hyaline fibromatosis
1958;Gingival fibromatosis-progressive deafness syndrome
1953;Fibrochondrogenesis
1952;Femur-fibula-ulna complex
1955;Hereditary gingival fibromatosis
1954;Endocardial fibroelastosis
1965;Paraplegia-intellectual disability-hyperkeratosis syndrome
1967;FLOTCH syndrome
1966;Floating-Harbor syndrome
1961;Hepatic fibrosis-renal cysts-intellectual disability syndrome
1962;Scalp-ear-nipple syndrome
1943;Alar cartilages hypoplasia-coloboma-telecanthus syndrome
1940;Cleft lip/palate-deafness-sacral lipoma syndrome
17237;Lethal acantholytic epidermolysis bullosa
17236;Epidermolysis bullosa simplex with pyloric atresia
1941;Laryngotracheoesophageal cleft
1938;Cleft lip/palate-intestinal malrotation-cardiopathy syndrome
17235;Epidermolysis bullosa simplex with circinate migratory erythema
17234;Dominant dystrophic epidermolysis bullosa, nails only
17233;Acral dystrophic epidermolysis bullosa
17232;Epidermolysis bullosa simplex due to plakophilin deficiency
1950;Cleft palate-lateral synechia syndrome
1951;Sternal cleft
1949;Cleft palate-large ears-small head syndrome
1946;Cleft palate-stapes fixation-oligodontia syndrome
1945;Acrocardiofacial syndrome
1926;Gollop-Wolfgang complex
1923;Bilateral striopallidodentate calcinosis
1934;Blepharo-cheilo-odontic syndrome
1932;Cleft lip-retinopathy syndrome
1931;Pai syndrome
1928;Femoral-facial syndrome
2200;Familial partial lipodystrophy, Dunnigan type
19544;Müllerian aplasia and hyperandrogenism
19549;MUTYH-related attenuated familial adenomatous polyposis
19551;Autosomal recessive ataxia due to PEX10 deficiency
19550;APC-related attenuated familial adenomatous polyposis
19537;Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations
2198;Kniest dysplasia
2199;Lethal Kniest-like dysplasia
19528;Citrullinemia type II
19529;Neonatal intrahepatic cholestasis due to citrin deficiency
2184;KBG syndrome
19530;Juvenile primary lateral sclerosis
2189;Isolated punctate palmoplantar keratoderma
2188;Non-epidermolytic palmoplantar keratoderma
2191;Keratosis follicularis-dwarfism-cerebral atrophy syndrome
2190;Keratoderma hereditarium mutilans
2177;Kabuki syndrome
2176;Jung syndrome
2179;Osteopenia-intellectual disability-sparse hair syndrome
2178;Sanjad-Sakati syndrome
19524;Citrullinemia type I
2180;Epidermolysis bullosa simplex with anodontia/hypodontia
2182;Kapur-Toriello syndrome
2234;Lowe-Kohn-Cohen syndrome
2235;Lowry-MacLean syndrome
2239;Dislocation of the hip-dysmorphism syndrome
2236;Cystic fibrosis-gastritis-megaloblastic anemia syndrome
2237;Hypergonadotropic hypogonadism-cataract syndrome
2226;Nasopalpebral lipoma-coloboma syndrome
2227;Peripheral motor neuropathy-dysautonomia syndrome
2225;Encephalocraniocutaneous lipomatosis
2219;Choreoacanthocytosis
19562;Juvenile Huntington disease
2218;Leukonychia totalis
2217;Leukoencephalopathy-palmoplantar keratoderma syndrome
2216;Early-onset parkinsonism-intellectual disability syndrome
2215;Laurin-Sandrow syndrome
2213;Laryngeal abductor paralysis-intellectual disability syndrome
2270;Familial supernumerary nipples
2271;Mandibuloacral dysplasia
2261;Isolated split hand-split foot malformation
19478;RFT1-CDG
19473;HELLP syndrome
2257;Ollier disease
2258;Czeizel-Losonci syndrome
2259;Hand-foot-genital syndrome
19468;Dimethylglycine dehydrogenase deficiency
2255;Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome
2249;Macrocephaly-spastic paraplegia-dysmorphism syndrome
2251;Macrosomia-microphthalmia-cleft palate syndrome
2302;Upper limb defect-eye and ear abnormalities syndrome
19518;Hyperphosphatasia-intellectual disability syndrome
2300;Lower limb malformation-hypospadias syndrome
19517;Inhalational anthrax
2298;Melorheostosis
19513;Sporadic adult-onset ataxia of unknown etiology
2296;Melkersson-Rosenthal syndrome
2297;Melnick-Needles syndrome
2294;Neurocutaneous melanocytosis
2290;Megalencephaly
2291;Megalocornea-intellectual disability syndrome
2288;White forelock with malformations
2289;Dysraphism-cleft lip/palate-limb reduction defects syndrome
2286;McKusick-Kaufman syndrome
2284;McDonough syndrome
2283;Matthew-Wood syndrome
2279;Marshall-Smith syndrome
2277;Marinesco-Sjögren syndrome
2276;Marfanoid habitus-autosomal recessive intellectual disability syndrome
2275;Shprintzen-Goldberg syndrome
2273;Marden-Walker syndrome
2065;Microcephaly-glomerulonephritis-marfanoid habitus syndrome
19666;Ependymoma
19667;Subependymoma
2069;Infantile systemic hyalinosis
19668;Myxopapillary ependymoma
2071;Hydrocephaly-tall stature-joint laxity syndrome
2070;Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome
2075;Hydrolethalus
2079;Autosomal dominant epidermolytic ichthyosis
2078;Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement
2050;Hirschsprung disease-type D brachydactyly syndrome
2051;Mowat-Wilson syndrome
2054;Hirschsprung disease-deafness-polydactyly syndrome
2057;Histidinuria-renal tubular defect syndrome
2058;Holoprosencephaly-craniosynostosis syndrome
2060;Holoprosencephaly-caudal dysgenesis syndrome
2061;Holoprosencephaly-postaxial polydactyly syndrome
2062;Holzgreve syndrome
19662;Pituicytoma
2063;Methylcobalamin deficiency type cblE
2098;Hypertrichosis lanuginosa congenita
2097;Hypertrichosis cubiti
2103;Ramos-Arroyo syndrome
2102;Hypodontia-dysplasia of nails syndrome
19701;Gangliocytoma
2107;Primary hypergonadotropic hypogonadism-partial alopecia syndrome
2104;Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
2111;Familial isolated hypoparathyroidism
2110;Hypoparathyroidism-sensorineural deafness-renal disease syndrome
2109;Hypogonadotropic hypogonadism-retinitis pigmentosa syndrome
19708;Ganglioneuroma
2108;Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome
2082;Epidermolytic palmoplantar keratoderma
2083;Focal palmoplantar and gingival keratoderma
2080;Palmoplantar keratoderma-esophageal carcinoma syndrome
2081;Transgrediens et progrediens palmoplantar keratoderma
2087;Ankylosing vertebral hyperostosis with tylosis
2084;Palmoplantar keratoderma-spastic paralysis syndrome
2085;Palmoplantar keratoderma-deafness syndrome
2091;Hypertelorism-microtia-facial clefting syndrome
2089;Hypertelorism-hypospadias-polysyndactyly syndrome
19695;Papillary tumor of the pineal region
19694;Pineocytoma
2095;Cervical hypertrichosis-peripheral neuropathy syndrome
19693;Pineoblastoma
2092;Multiple pterygium-malignant hyperthermia syndrome
2093;Maternal hyperthermia-induced birth defects
19604;2q32q33 microdeletion syndrome
2133;Hypotrichosis-intellectual disability, Lopes type
2135;Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome
19607;3q29 microduplication syndrome
19600;1q41q42 microdeletion syndrome
2129;Hypospadias-intellectual disability, Goldblatt type syndrome
19601;Paternal uniparental disomy of chromosome 1
19602;Maternal uniparental disomy of chromosome 1
2130;Pallister-Hall syndrome
19603;2q31.1 microdeletion syndrome
2141;Superficial epidermolytic ichthyosis
19613;8p11.2 deletion syndrome
19614;8p23.1 microdeletion syndrome
2143;Ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome
19615;8p23.1 duplication syndrome
2142;Ichthyosis follicularis-alopecia-photophobia syndrome
19609;6p22 microdeletion syndrome
2139;Harlequin ichthyosis
2138;Congenital ichthyosis-microcephalus-tetraplegia syndrome
19611;6q25 microdeletion syndrome
2117;Cerebellar hypoplasia-tapetoretinal degeneration syndrome
2119;Ulna hypoplasia-intellectual disability syndrome
2112;Familial isolated hypoparathyroidism due to agenesis of parathyroid gland
2113;Megacystis-microcolon-intestinal hypoperistalsis syndrome
19597;Autosomal recessive Stickler syndrome
2124;Fibulo-ulnar hypoplasia-renal anomalies syndrome
2125;Primary pulmonary hypoplasia
19596;AICA-ribosiduria
2126;Congenital unilateral pulmonary hypoplasia
19599;1q21.1 microduplication syndrome
19598;1q21.1 microdeletion syndrome
2120;Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome
19593;Isolated aniridia
2121;Thumb deformity-alopecia-pigmentation anomaly syndrome
2122;Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome
19595;Polymicrogyria with optic nerve hypoplasia
2123;Pancreatic hypoplasia-diabetes-congenital heart disease syndrome
2167;Isotretinoin-like syndrome
19639;CK syndrome
2166;Isotretinoin syndrome
2162;Familial articular hypermobility syndrome
2160;Congenital bowing of long bones
2175;Juberg-Hayward syndrome
2173;Johnson neuroectodermal syndrome
2172;Johanson-Blizzard syndrome
19642;46,XY partial gonadal dysgenesis
2170;Absence deformity of leg-cataract syndrome
2169;Pachyonychia congenita
2168;IVIC syndrome
2151;Dysmorphism-short stature-deafness-disorder of sex development syndrome
19620;Autosomal dominant spastic ataxia type 1
19618;Familial hyperaldosteronism type III
2147;Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome
2158;Congenital velopharyngeal incompetence
19631;Ataxia-telangiectasia-like disorder
2156;Neuronal intranuclear inclusion disease
2157;Microvillus inclusion disease
2154;Fused mandibular incisors
2152;Primary basilar invagination
2441;Neurofaciodigitorenal syndrome
2440;Neuhauser-Eichner-Opitz syndrome
19790;Lethal infantile mitochondrial myopathy
2446;Neurofibromatosis type 6
19791;Mitochondrial myopathy with reversible cytochrome C oxidase deficiency
19789;Pure mitochondrial myopathy
2435;Nephropathy-deafness-hyperparathyroidism syndrome
2434;Nathalie syndrome
2433;Keipert syndrome
2439;Neu-Laxova syndrome
2438;Renal coloboma syndrome
2436;Nephrosis-deafness-urinary tract-digital malformations syndrome
2457;Bifid nose
2462;Noonan syndrome-like disorder with loose anagen hair
2460;Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome
19795;Autosomal recessive progressive external ophthalmoplegia
19793;Mitochondrial DNA depletion syndrome, myopathic form
2452;Neutropenia-monocytopenia-deafness syndrome
19796;Autosomal dominant progressive external ophthalmoplegia
2473;Oculofaciocardiodental syndrome
2475;Oculo-palato-cerebral syndrome
2476;Oculorenocerebellar syndrome
2478;Oculotrichoanal syndrome
2465;Ochoa syndrome
2464;Port-wine nevi-mega cisterna magna-hydrocephalus syndrome
19809;Mitochondrial DNA-associated Leigh syndrome
2468;Oculocerebrofacial syndrome, Kaufman type
2471;Oculodentodigital dysplasia
19814;Leigh syndrome with leukodystrophy
19815;Leigh syndrome with nephrotic syndrome
2489;Blepharophimosis-intellectual disability syndrome, Ohdo type
2490;Postaxial tetramelic oligodactyly
2492;Olivopontocerebellar atrophy-deafness syndrome
2480;Oculocerebral hypopigmentation syndrome, Cross type
2481;Oculocerebral hypopigmentation syndrome, Preus type
2483;Odonto-onycho dysplasia-alopecia syndrome
2485;Odontomatosis-aortae esophagus stenosis syndrome
2486;Eye defects-arachnodactyly-cardiopathy syndrome
2510;Orofaciodigital syndrome type 6
19727;Benign schwannoma
2509;Orofaciodigital syndrome type 4
2508;Orofaciodigital syndrome type 3
2507;Orofaciodigital syndrome type 2
2506;Orofaciodigital syndrome type 1
2503;Ophthalmoplegia-intellectual disability-lingua scrotalis syndrome
19719;Hemangioblastoma
2501;Ophthalmomandibulomelic dysplasia
2497;Ondine syndrome
2496;Lethal omphalocele-cleft palate syndrome
2526;Autosomal recessive distal osteolysis syndrome
2527;Osteomesopyknosis
19742;Autosomal recessive limb-girdle muscular dystrophy type 2Q
2524;Multicentric carpo-tarsal osteolysis with or without nephropathy
19740;Distal 7q11.23 microdeletion syndrome
2522;Familial osteodysplasia, Anderson type
19739;19p13.12 microdeletion syndrome
2523;Nasu-Hakola disease
19738;Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome
2521;Blount disease
2516;Progressive osseous heteroplasia
2514;Imperforate oropharynx-costovertebral anomalies syndrome
2515;OSLAM syndrome
19729;Neurofibroma
19756;Temple syndrome
2541;Otoonychoperoneal syndrome
2540;Otofaciocervical syndrome
19757;Kagami-Ogata syndrome
2543;Pachygyria-intellectual disability-epilepsy syndrome
2542;Pachydermoperiostosis
